cng_(Feet),DISTANCE_FROM_MOUTH,ELEVATION,ADJUSTED_ELEVATION,LONGITUDE,LATITUDE
1224,55570.14340,412.77,412.69,-82.122366,33.473065
1228,55566.14340,412.62,412.62,-82.122353,33.473067
1232,55562.14340,412.25,412.25,-82.12234,33.47307
1236,55558.14340,412.05,412.05,-82.122327,33.473072
1240,55554.14340,412.01,412.01,-82.122314,33.473075
1244,55550.14340,412.00,412.00,-82.122302,33.473077
1248,55546.14340,411.90,411.90,-82.122289,33.47308
1252,55542.14340,411.55,411.55,-82.122276,33.473082
1256,55538.14340,411.22,411.22,-82.122263,33.473085
1260,55534.14340,411.08,411.08,-82.12225,33.473087
1264,55530.14340,411.15,411.08,-82.122238,33.47309
1268,55526.14340,411.12,411.05,-82.122225,33.473092
1272,55522.14340,411.02,411.02,-82.122212,33.473094
1276,55518.14340,410.90,410.90,-82.122199,33.473097
1280,55514.14340,410.85,410.85,-82.122187,33.473099
1284,55510.14340,411.05,410.85,-82.122174,33.473102
1288,55506.14340,410.70,410.70,-82.122161,33.473104
1292,55502.14340,410.47,410.47,-82.122148,33.473107
1296,55498.14340,410.35,410.35,-82.122135,33.473109
1300,55494.14340,410.37,410.35,-82.122123,33.473112
1304,55490.14340,410.59,410.34,-82.12211,33.473114
1308,55486.14340,410.64,410.32,-82.122097,33.473117
1312,55482.14340,410.48,410.31,-82.122084,33.473119
1316,55478.14340,410.29,410.29,-82.122071,33.473121
1320,55474.14340,410.64,410.29,-82.122059,33.473124
1324,55470.14340,410.28,410.28,-82.122046,33.473126
1328,55466.14340,410.01,410.01,-82.122033,33.473129
1332,55462.14340,409.96,409.96,-82.12202,33.473131
1336,55458.14340,409.86,409.86,-82.122008,33.473134
1340,55454.14340,409.84,409.84,-82.121995,33.473136
1344,55450.14340,409.65,409.65,-82.121982,33.473139
1348,55446.14340,409.56,409.56,-82.121969,33.473141
1352,55442.14340,409.19,409.19,-82.121956,33.473144
1356,55438.14340,409.30,409.19,-82.121944,33.473146
1360,55434.14340,409.30,409.16,-82.121931,33.473148
1364,55430.14340,409.13,409.13,-82.121918,33.473151
1368,55426.14340,408.84,408.84,-82.121905,33.473153
1372,55422.14340,408.71,408.71,-82.121892,33.473156
1376,55418.14340,408.33,408.33,-82.12188,33.473158
1380,55414.14340,408.08,408.08,-82.121867,33.473161
1384,55410.14340,407.57,407.57,-82.121854,33.473163
1388,55406.14340,407.22,407.22,-82.121841,33.473166
1392,55402.14340,407.47,407.22,-82.121829,33.473168
1396,55398.14340,406.97,406.97,-82.121816,33.473171
1400,55394.14340,406.90,406.90,-82.121803,33.473173
1404,55390.14340,406.79,406.79,-82.12179,33.473176
1408,55386.14340,406.88,406.79,-82.121777,33.473178
1412,55382.14340,406.92,406.78,-82.121765,33.47318
1416,55378.14340,406.92,406.77,-82.121752,33.473183
1420,55374.14340,406.90,406.76,-82.121739,33.473185
1424,55370.14340,406.87,406.74,-82.121726,33.473188
1428,55366.14340,406.81,406.73,-82.121713,33.47319
1432,55362.14340,406.72,406.72,-82.121701,33.473193
1436,55358.14340,406.76,406.72,-82.121688,33.473195
1440,55354.14340,406.77,406.68,-82.121675,33.473198
1444,55350.14340,406.64,406.64,-82.121662,33.4732
1448,55346.14340,406.56,406.56,-82.12165,33.473203
1452,55342.14340,406.71,406.56,-82.121637,33.473205
1456,55338.14340,406.70,406.53,-82.121624,33.473207
1460,55334.14340,406.74,406.50,-82.121611,33.47321
1464,55330.14340,406.75,406.47,-82.121598,33.473212
1468,55326.14340,406.74,406.44,-82.121586,33.473215
1472,55322.14340,406.73,406.41,-82.121573,33.473217
1476,55318.14340,406.73,406.38,-82.12156,33.47322
1480,55314.14340,406.69,406.35,-82.121547,33.473222
1484,55310.14340,406.67,406.32,-82.121534,33.473225
1488,55306.14340,406.77,406.29,-82.121522,33.473227
1492,55302.14340,406.82,406.26,-82.121509,33.47323
1496,55298.14340,406.83,406.23,-82.121496,33.473232
1500,55294.14340,406.83,406.20,-82.121483,33.473234
1504,55290.14340,406.91,406.17,-82.121471,33.473237
1508,55286.14340,406.95,406.14,-82.121458,33.473239
1512,55282.14340,406.95,406.12,-82.121445,33.473242
1516,55278.14340,406.80,406.09,-82.121432,33.473244
1520,55274.14340,406.79,406.06,-82.121419,33.473247
1524,55270.14340,406.80,406.03,-82.121407,33.473249
1528,55266.14340,406.82,406.00,-82.121394,33.473252
1532,55262.14340,406.84,405.97,-82.121381,33.473254
1536,55258.14340,406.75,405.94,-82.121368,33.473257
1540,55254.14340,406.75,405.91,-82.121355,33.473259
1544,55250.14340,406.74,405.88,-82.121343,33.473261
1548,55246.14340,406.81,405.85,-82.12133,33.473264
1552,55242.14340,406.88,405.82,-82.121317,33.473266
1556,55238.14340,406.91,405.79,-82.121304,33.473269
1560,55234.14340,406.93,405.76,-82.121292,33.473271
1564,55230.14340,406.92,405.73,-82.121279,33.473274
1568,55226.14340,406.95,405.70,-82.121266,33.473276
1572,55222.14340,406.95,405.67,-82.121253,33.473279
1576,55218.14340,407.02,405.64,-82.12124,33.473281
1580,55214.14340,406.95,405.61,-82.121228,33.473284
1584,55210.14340,406.91,405.58,-82.121215,33.473286
1588,55206.14340,406.93,405.55,-82.121202,33.473289
1592,55202.14340,406.93,405.52,-82.121189,33.473291
1596,55198.14340,406.92,405.49,-82.121176,33.473293
1600,55194.14340,406.92,405.46,-82.121164,33.473296
1604,55190.14340,406.91,405.43,-82.121151,33.473298
1608,55186.14340,406.92,405.40,-82.121138,33.473301
1612,55182.14340,406.91,405.37,-82.121125,33.473303
1616,55178.14340,406.91,405.34,-82.121113,33.473306
1620,55174.14340,406.90,405.31,-82.1211,33.473308
1624,55170.14340,406.91,405.28,-82.121087,33.473311
1628,55166.14340,406.90,405.25,-82.121074,33.473313
1632,55162.14340,406.99,405.23,-82.121061,33.473315
1636,55158.14340,407.14,405.20,-82.121048,33.473317
1640,55154.14340,406.98,405.17,-82.121035,33.473318
1644,55150.14340,406.98,405.14,-82.121022,33.473319
1648,55146.14340,408.39,405.11,-82.121009,33.473321
1652,55142.14340,409.55,405.08,-82.120996,33.473322
1656,55138.14340,410.81,405.05,-82.120983,33.473323
1660,55134.14340,412.32,405.02,-82.12097,33.473324
1664,55130.14340,414.56,404.99,-82.120957,33.473323
1668,55126.14340,415.17,404.96,-82.120944,33.473321
1672,55122.14340,415.99,404.93,-82.120931,33.47332
1676,55118.14340,413.79,404.90,-82.120918,33.473318
1680,55114.14340,413.79,404.87,-82.120905,33.473316
1684,55110.14340,407.28,404.84,-82.120892,33.473315
1688,55106.14340,404.81,404.81,-82.120879,33.473313
1692,55102.14340,403.19,403.19,-82.120866,33.473312
1696,55098.14340,402.87,402.87,-82.120853,33.47331
1700,55094.14340,404.41,402.87,-82.12084,33.473308
1704,55090.14340,404.88,402.83,-82.120827,33.473306
1708,55086.14340,405.35,402.78,-82.120815,33.473305
1712,55082.14340,405.35,402.74,-82.120802,33.473305
1716,55078.14340,405.35,402.69,-82.120789,33.473308
1720,55074.14340,404.00,402.65,-82.120777,33.473311
1724,55070.14340,403.56,402.60,-82.120764,33.473315
1728,55066.14340,403.94,402.56,-82.120752,33.473318
1732,55062.14340,403.23,402.52,-82.120739,33.473321
1736,55058.14340,403.49,402.47,-82.120727,33.473325
1740,55054.14340,403.44,402.43,-82.120714,33.473328
